name,price,desc,stock,photo_url,user_id
Itsy Bitsy Birdhouse,7.99,"Tiny birdhouses fit perfectly into the nooks and crannys of your favorite tree, adding whimsy and magic to any backyard garden",7,birdhouse.jpg,4
Bitsy Box (Maru not included),12.99,"Tiny boxes are every cat's favorite plaything. Why spend hundreds of dollars on expensive cat toys when all they really want is the box?",1,catinbox.jpg,4
Bitsy Blue Flower (pack of ten),7.99,"Perfect for snapbooks and doll tea party décor, these five petal violets will add floral notes to any event or memory book",30,flower.jpg,4
Itsy Bitsy Frog,29.99,"Teeny tadpoles grow up to be tiny frogs. Perfect for playtime.",4,frog.jpg,3
Itsy Bitsy Pig,149.99,"I have a teacup pig but my dad won't let me keep him anymore. He is smart and snuggly and follows me around. Please provide him a good home.",1,pig.jpg,4
Bitsy Blue Smurf,14.99,"Vintage original smurf figurine, for all you collectors out there.",4,smurf.jpg,1
Tiny Tea for Two,9.99,"Teaset comes with two mugs, two plates, a sugar bowl, cream pitcher and teapot. Adorable red and blue floral design.",10,teaset.jpg,3
Deck of Cards,5.99,"Complete deck of cards, miniaturized! Technique used was shrink ray. Slight burn marks may be seen from the miniaturization process.",4,cards.jpg,1
Gecko,99.99,"The perfect pet for your pet rock. This reptile is a must for any individual who says buying pet food is too expensive",15,gecko.jpg,3
Shovel,1.99,"Useful when digging tiny, tiny graves for your littlest pet shop pet graves. 10 year no-rust warranty",10,shovel.jpg,3
Voodoo Dolls,5.99,"This is the only set of voodoo dolls you’ll ever need. Use for any occasion on any individual. *Individual results may vary.",25,voodoo.jpg,1
Tardigrade,7.99,"The ultimate invisible friend. Not fictitious, just really, really small. Water for habitat sold separately.",5,tardigrade.jpg,1
Bitsy bathroom,10.99,"Tiny cute bathroom furniture for dollhouse.",4,bathroom.jpg,2
Tiny dining room set,7.99,"Handy craft dolls dining room with grandfather clock.",3,dining.jpg,2
Itsy dining room set,5.99,"Dining room set with dark burgundy units.",7,dining1.jpg,2
Bitsy wooden dining room,11.99,"Wooden dining room set with 6 chairs.",3,dining3.jpg,2
Bitsy kitchen furniture,8.99,"Wooden kitchen furniture and dining table set for dollhouse.",5,kitchen.jpg,1
Bitsy living room furniture,6.99,"Dollhouse living room with colorful sofa and chair.",1,living.jpg,2
Alpacas,8.99,"Set of 2 alpacas in love. They're in love. Deal with it",88,alpaca.jpg,4
America! Cake,19.99,"Bye bye Miss American Pie. Here's American cake.",5,american_cake.jpg,4
Avocado,5.99,"Just the right amount of healthy fats.",15,avocado.jpg,2
Tiny Baked Potatoes,10.99,"Pack of 10. To go with your mini steaks.",9,baked_potato.jpg,3
Breakfast Plate,8.99,"Not a traditional breakfast but a healthy one! The most important meal of the day.",5,breakfast_plate.jpg,1
Cat Dessert,9.99,"Bon bons and cats. Don't eat if you're allergic to bon bons.",10,cat_dessert.jpg,1
Clementine,1500.00,"The ultimate cutie.",1,clementine.jpg,4
Combo Meal,7.99,"When you have the munchies but your appetite isn't that big.",10,combo.jpg,2
Cucamelons,11.99,"Cucamelons are about the size of grapes and taste like cucumbers with a tinge of sourness.",55,cucamelon.jpg,3
Breakfast,14.99,"Sausage and eggs.",15,griddle.jpg,1
Octopus,7.99,"Mr. Octopus.",48,octo.jpg,4
Pop Tarts,43.99,"Berry and toothpaste flavored",89,pop_tarts.jpg,3
Salad,6.99,"A healthy option for those with tiny appetites.",15,salad.jpg,4
Tacos,8.99,"TACO TIME",77,tacos.jpg,2
Mr. Snuggles,99999.99,"He'll love on you forever.",1,tiny.jpg,4
Unicorn,14.99,"Brings good luck wherever you go.",5,unicorn.jpg,3
Chubby Butterfly,28.99,"Fat. Can't fly.",9,chubb.jpg,1
